day_of_week,usertype,average_ride_length
1,Customer,2173.75358470526
1,Subscriber,733.425494160855
2,Customer,1982.37843551797
2,Subscriber,671.457892675284
3,Customer,2237.2598973607
3,Subscriber,687.076342296275
4,Customer,2214.90317396545
4,Subscriber,676.497608977126
5,Customer,2198.49178082192
5,Subscriber,665.223199912477
6,Customer,2134.368
6,Subscriber,678.458523260491
7,Customer,2394.3614216586
7,Subscriber,789.416254392849
